dimension,clusters,method,silhouette
64,2,KMeans,0.0958893820643425
64,2,Agglomerative,0.09830992668867111
64,2,GaussianMixture,0.14652448892593384
64,3,KMeans,0.0961601734161377
64,3,Agglomerative,0.09206023812294006
64,3,GaussianMixture,0.050477106124162674
64,4,KMeans,0.09690358489751816
64,4,Agglomerative,0.09342335909605026
64,4,GaussianMixture,0.05474481359124184
64,5,KMeans,0.09343048930168152
64,5,Agglomerative,0.08229853957891464
64,5,GaussianMixture,0.04900330677628517
64,6,KMeans,0.08088723570108414
64,6,Agglomerative,0.09054223448038101
64,6,GaussianMixture,0.038247231394052505
128,2,KMeans,0.08353359997272491
128,2,Agglomerative,0.08797092735767365
128,2,GaussianMixture,0.12003159523010254
128,3,KMeans,0.07955379039049149
128,3,Agglomerative,0.0802997574210167
128,3,GaussianMixture,0.013041297905147076
128,4,KMeans,0.07904429733753204
128,4,Agglomerative,0.08250512927770615
128,4,GaussianMixture,0.028368685394525528
128,5,KMeans,0.08544047176837921
128,5,Agglomerative,0.061755817383527756
128,5,GaussianMixture,0.018803566694259644
128,6,KMeans,0.06339948624372482
128,6,Agglomerative,0.06892842799425125
128,6,GaussianMixture,-0.012583944015204906
256,2,KMeans,0.07587825506925583
256,2,Agglomerative,0.08258402347564697
256,2,GaussianMixture,0.09743613749742508
256,3,KMeans,0.06940551102161407
256,3,Agglomerative,0.06875207275152206
256,3,GaussianMixture,0.013539464212954044
256,4,KMeans,0.06789038330316544
256,4,Agglomerative,0.07003287225961685
256,4,GaussianMixture,0.01425423938781023
256,5,KMeans,0.05875275284051895
256,5,Agglomerative,0.052392445504665375
256,5,GaussianMixture,0.016209343448281288
256,6,KMeans,0.046489544212818146
256,6,Agglomerative,0.059089671820402145
256,6,GaussianMixture,-0.01510161068290472
