representation,dimension,mse,r2,variance_explained,prinova_score,selected
PCA,16,0.6221606731,0.3936334848,0.4080344391,,False
PCA,32,0.4867725074,0.5255846381,0.543746531,,False
PCA,64,0.3478236794,0.661006093,0.6812404394,,False
PCA,128,0.2174432576,0.7880767584,0.8086044788,,False
PCA,256,0.1114453301,0.8913838267,0.9095847011,0.925,True
Autoencoder,16,0.5079904795,0.5049053431,,,False
Autoencoder,32,0.4867914915,0.5255661011,,,False
Autoencoder,64,0.4848983288,0.5274112225,,,False
Autoencoder,128,0.4745226204,0.5375235677,,,False
Autoencoder,256,0.4788055122,0.5333493948,,,False
VAE,16,0.5085378289,0.504371881,,,False
VAE,32,0.4851298034,0.5271856785,,,False
VAE,64,0.4809563458,0.531253159,,,False
VAE,128,0.4750458896,0.5370135307,,,False
VAE,256,0.4790048003,0.5331552029,,,False
