model,dimension,mse,r2,variance_explained,reconstruction_score,compression_score,variance_score,normalized_reconstruction,prinova_score,rank
PCA,256,0.11144533008337021,0.8913838267326355,0.9095847010612488,0.8913838267326355,0.75,0.9095847010612488,1.0,0.9249999999999999,1
PCA,128,0.21744325757026672,0.7880767583847046,0.8086044788360596,0.7880767583847046,0.875,0.8086044788360596,0.7924520393995113,0.8172164275796578,2
PCA,64,0.3478236794471741,0.6610060930252075,0.681240439414978,0.6610060930252075,0.9375,0.681240439414978,0.5371620784194212,0.6572634548935948,3
VAE,32,0.48512980341911316,0.5271856784820557,,0.5271856784820557,0.96875,,0.2683116060432063,0.4784431242302444,4
PCA,32,0.4867725074291229,0.5255846381187439,0.5437465310096741,0.5255846381187439,0.96875,0.5437465310096741,0.26509505302744085,0.4761915371192086,5
Autoencoder,32,0.4867914915084839,0.5255661010742188,,0.5255661010742188,0.96875,,0.26505781137642626,0.47616546796349835,6
VAE,64,0.4809563457965851,0.5312531590461731,,0.5312531590461731,0.9375,,0.27648333436117095,0.4747883340528196,7
Autoencoder,64,0.48489832878112793,0.5274112224578857,,0.5274112224578857,0.9375,,0.26876473275522955,0.4693853129286607,8
Autoencoder,128,0.4745226204395294,0.5375235676765442,,0.5375235676765442,0.875,,0.2890808317461724,0.4648565822223207,9
VAE,128,0.4750458896160126,0.5370135307312012,,0.5370135307312012,0.875,,0.28805614747693803,0.46413930323385666,10
Autoencoder,16,0.5079904794692993,0.5049053430557251,,0.5049053430557251,0.984375,,0.22354953648514256,0.45179717553959975,11
VAE,16,0.5085378289222717,0.5043718814849854,,0.5043718814849854,0.984375,,0.22247779122282543,0.45104695385597776,12
Autoencoder,256,0.4788055121898651,0.5333493947982788,,0.5333493947982788,0.75,,0.2806947543757443,0.421486328063021,13
VAE,256,0.47900480031967163,0.5331552028656006,,0.5331552028656006,0.75,,0.2803046151506461,0.42121323060545224,14
PCA,16,0.6221606731414795,0.39363348484039307,0.4080345332622528,0.39363348484039307,0.984375,0.4080345332622528,0.0,0.2953125,15
