protein_id,cluster,assignment_confidence
A0A286LEZ9,0,1.0
A0LDR1,1,1.0
A0A411KZY9,1,1.0
A0A023PYC6,0,1.0
A0R8F7,1,1.0
A0A350,0,1.0
A0RH88,1,0.99998474
A0QL02,1,0.9999543
A0A2K1X4I9,1,0.99992365
A0LQP0,1,1.0
A0AYY8,0,1.0
A0JMW6,1,0.9999084
A0A0B5KYT4,1,1.0
A0A023IWG3,0,1.0
A0RAS3,1,1.0
A0B7Z0,1,0.99998474
A0A509ADH4,1,0.7900036
A0LI55,0,1.0
A0A286YF58,0,1.0
A0A2G5I8W0,0,0.98771644
A0Q7Y1,1,1.0
A0AJB5,1,1.0
A0R1T3,1,1.0
A0A0P0WL81,1,0.98922473
A0AIZ8,1,1.0
A0QQZ8,1,1.0
A0A2Z5CVA1,1,0.99998474
A0L250,1,0.9998627
A0R9A0,1,1.0
A0A1X9ISP7,1,0.9999084
A0RHL5,0,0.9992526
A0M590,0,0.99998474
A0JNJ4,1,0.9850374
A0A5Q0QP64,1,0.99800307
A0PZS6,1,1.0
A0JN52,1,0.9992678
A0LD64,1,0.991673
A0KRM0,1,1.0
A0A0P1ATM7,0,1.0
A0KEC3,1,1.0
A0JJT9,1,1.0
A0A023PYI5,0,0.99975586
A0A381HBN1,1,0.62935585
A0A7S8RGC8,0,0.9213838
A0A1D8PTI7,0,1.0
A0QS45,1,1.0
A0LA23,1,1.0
A0A7H0DN32,0,1.0
A0QWG2,1,1.0
A0A0H2ZKY7,0,0.9970594
A0RAL4,1,0.9999695
A0KRP3,1,0.9999695
A0A5B8Z1N3,1,1.0
A0JYN2,1,1.0
A0A5H1ZR48,0,1.0
A0A3D9VCI6,1,0.9999543
A0A3T0E4B9,1,0.9985362
A0Q8E1,1,1.0
A0A7H0DNA4,0,1.0
A0KRM8,1,1.0
A0PM49,1,1.0
A0A023PZF9,0,1.0
A0KKH9,1,1.0
A0LHM4,1,1.0
A0K7V7,0,0.91913706
A0A1L6K371,0,1.0
A0A7H0DND2,0,0.84123677
A0KVD3,1,1.0
A0A1L8FM16,1,0.9991763
A0JWY6,1,0.99998474
A0RB62,1,0.9998931
A0A287BDC1,1,0.9998931
A0LRP6,1,1.0
A0A1D8PFV1,0,0.9704023
A0CYG2,0,0.8840873
A0A2I1C3V3,1,0.9971506
A0A0F7TXA5,1,1.0
A0LJM3,1,0.8753219
A0A455LRX2,1,0.89534163
A0JUU0,1,1.0
A0A146F0J0,0,0.9260349
A0R480,1,1.0
A0A0A1I6N9,0,1.0
A0A4P8DJU1,1,1.0
A0A0S2E7Z1,1,1.0
A0KS84,1,1.0
A0AK37,1,1.0
A0KV13,1,1.0
A0A2H1VE33,1,0.99998474
A0A1S3C4H6,0,1.0
A0AAS4,1,1.0
A0A0U2WFX7,0,0.9999543
A0LIJ5,1,0.99553925
A0R3M4,1,1.0
A0Q1S2,0,0.9970898
A0A067XNJ0,1,0.981886
A0JMR6,1,0.999939
A0LRJ1,0,0.99998474
A0A075F932,1,1.0
A0A059WLZ7,1,1.0
A0A0S2E7V8,1,1.0
A0A023IWI4,0,1.0
A0QEZ6,1,1.0
A0KTZ1,1,1.0
A0M787,1,0.99992365
A0PXX4,1,1.0
A0PXU2,1,1.0
A0A7S8MU59,0,0.9719732
A0A0G2RKY1,1,1.0
A0LSW9,0,0.99998474
A0KBJ5,1,0.9928085
A0K477,0,0.9999695
A0A7S8MVN3,0,0.9994051
A0KF33,1,1.0
A0JV02,0,0.9991458
A0A023PYF4,0,1.0
A0K2Y1,1,1.0
A0A0A7EQR3,1,1.0
A0A455RAK9,1,0.9998017
A0QG83,1,0.999939
A0PX70,0,0.8262508
A0QDK7,1,0.7063524
A0LRL4,1,1.0
A0KGF0,1,1.0
A0A1R3RGJ7,1,1.0
A0LV11,1,1.0
A0B9U1,0,0.99194545
A0A191T6Q6,1,1.0
A0Q7Q5,1,0.99998474
A0A2Z4HPY0,1,1.0
A0A8G1LR08,1,1.0
A0MH68,1,1.0
A0Q8M6,1,1.0
A0L482,1,1.0
A0A4Y6F0M8,1,1.0
A0KNT0,1,1.0
A0A0H3MBK5,1,0.99998474
A0KYM1,1,1.0
A0A0A2JP58,1,0.9998779
A0A2K3DMP5,0,0.52430815
A0A024B3D0,0,0.8386735
A0R102,1,0.9761496
A0A324,0,1.0
A0LF66,1,0.9991306
A0R0T9,1,1.0
A0A0A0MTA4,0,1.0
A0KEM9,1,1.0
A0A2I1BSX0,0,0.8429072
A0A1W5T1T3,0,1.0
A0A7J6K7Y0,1,0.86029303
A0KAR0,1,1.0
A0K4K6,1,1.0
A0B6Z6,1,0.9996796
A0A0A2JY30,1,1.0
A0QEZ9,1,1.0
A0A4P8DJU7,1,0.9956607
A0PPD1,1,1.0
A0LRM0,0,1.0
A0LK67,1,0.9991916
A0K4K7,1,0.9563494
A0A1V0QSC6,1,0.99964917
A0AJU2,1,1.0
A0M554,1,1.0
A0QL17,1,1.0
A0A0R4IYX6,1,0.9995881
A0PK05,1,1.0
A0RHP5,1,0.9999543
A0RN89,0,0.98792744
A0A0N7D7C9,1,1.0
A0A0U1LSP0,1,1.0
A0A084B9Z2,1,0.9954936
A0A1S4DFD3,1,1.0
A0QJU9,1,1.0
A0A2R8Q3S9,1,0.9999084
A0RKC7,1,0.99998474
A0K834,1,0.90352124
A0AF21,0,0.6322916
A0A161CEV4,1,0.99998474
A0JMD4,1,1.0
A0LLG2,0,0.999939
A0R890,1,1.0
A0A023PXJ7,0,1.0
A0QLP6,1,1.0
A0A2I6PJ13,1,0.9993288
A0A3G1DJJ8,1,0.9999695
A0AKD5,1,1.0
A0AG21,1,0.9980488
A0RIH3,1,1.0
A0PQ75,0,0.6869224
A0A1D3PCJ5,1,1.0
A0A0B0QJN8,1,1.0
A0LTZ0,1,1.0
A0A0M3KKW3,1,0.9999695
A0JWX8,1,0.9999543
A0Q6F0,1,1.0
A0A0C1EFK1,1,1.0
A0B9K5,0,0.9997101
A0A8I3S9V6,1,1.0
A0Q2L0,1,1.0
A0A5P9NYS6,0,1.0
A0A0B5A8Q2,0,1.0
A0Q5I2,1,1.0
A0B7V2,1,1.0
A0A087WSY6,1,0.99814016
A0A8K1AW52,1,1.0
A0QI38,1,1.0
A0A8I3NQW8,1,0.9677555
A0AKG4,0,0.9678292
A0JY66,1,1.0
A0Q696,1,0.9994508
A0A1D8PEL1,1,0.99992365
A0A0H3H456,1,1.0
A0A5C1REZ4,1,1.0
A0A4R2UGS4,1,0.9999543
A0A0D1CVS5,0,1.0
A0QRJ0,1,1.0
A0L3K3,1,0.9995119
A0RLN8,1,0.9983687
A0Q5M6,1,1.0
A0A3Q2UEI8,0,0.9999695
A0KY04,1,1.0
A0JND4,1,1.0
A0ALV5,0,0.51826304
A0A2G5ID46,1,1.0
A0LGM1,1,0.99998474
A0LRK0,0,0.976239
A0PX13,1,1.0
A0M5U1,1,0.9991306
A0R200,1,1.0
A0LZH4,0,0.9996339
A0A0B5ABD5,0,1.0
A0A2Z5XAS1,1,0.99992365
A0KAU6,1,1.0
A0AJM6,1,0.9998779
A0A087WVF3,0,0.9967095
A0A193H362,0,1.0
A0A1D8PK71,0,1.0
A0A0N8YGA2,1,1.0
A0A7H0DND3,1,0.8425085
A0KRL7,1,0.99998474
A0B6X3,0,0.9884552
A0K866,1,0.9989782
A0B9V0,0,1.0
A0A1B0GTZ2,1,0.9961013
A0QR29,0,0.9999695
A0A125S9E2,0,0.9828603
A0A6M3QG69,1,1.0
A0KIK9,1,1.0
A0KQ25,0,1.0
A0A0P1DJE3,1,1.0
A0R921,1,1.0
A0PPW9,1,1.0
A0A072VPZ8,1,1.0
A0QL99,1,0.999939
A0A0G2Q9D6,1,1.0
A0QA95,1,1.0
A0KGH8,1,1.0
A0QQ98,1,0.9997406
A0A089FNE5,1,1.0
A0A330KW27,0,0.8028852
A0R664,1,0.9998474
A0QV47,1,1.0
A0QMC8,1,1.0
A0PMB4,1,1.0
A0A179H0I3,1,0.98690283
A0RBL2,1,1.0
A0A447CCJ8,1,0.98797274
A0QV16,1,1.0
A0A084R1K6,1,1.0
A0L678,1,0.9998931
A0A1B0GTD5,1,0.9880933
A0Q4I6,1,0.99942034
A0A1B0GV90,0,0.62789786
A0JPQ9,1,1.0
A0NBD9,1,0.90359014
A0M6K0,1,1.0
A0QNJ5,0,1.0
A0A2P1DP91,1,0.9999695
A0A348B784,1,0.9695143
A0M4Z3,1,1.0
A0LEB7,1,0.99876475
A0KW24,1,1.0
A0A075B6U4,1,1.0
