protein_id,cluster
A0A286LEZ9,0
A0LDR1,1
A0A411KZY9,0
A0A023PYC6,0
A0R8F7,1
A0A350,0
A0RH88,1
A0QL02,1
A0A2K1X4I9,0
A0LQP0,1
A0AYY8,1
A0JMW6,0
A0A0B5KYT4,0
A0A023IWG3,0
A0RAS3,1
A0B7Z0,1
A0A509ADH4,0
A0LI55,1
A0A286YF58,0
A0A2G5I8W0,0
A0Q7Y1,1
A0AJB5,1
A0R1T3,0
A0A0P0WL81,0
A0AIZ8,1
A0QQZ8,1
A0A2Z5CVA1,0
A0L250,1
A0R9A0,1
A0A1X9ISP7,0
A0RHL5,1
A0M590,1
A0JNJ4,0
A0A5Q0QP64,0
A0PZS6,1
A0JN52,0
A0LD64,1
A0KRM0,1
A0A0P1ATM7,0
A0KEC3,1
A0JJT9,0
A0A023PYI5,0
A0A381HBN1,0
A0A7S8RGC8,0
A0A1D8PTI7,1
A0QS45,1
A0LA23,1
A0A7H0DN32,0
A0QWG2,1
A0A0H2ZKY7,0
A0RAL4,1
A0KRP3,1
A0A5B8Z1N3,0
A0JYN2,1
A0A5H1ZR48,0
A0A3D9VCI6,0
A0A3T0E4B9,1
A0Q8E1,1
A0A7H0DNA4,0
A0KRM8,1
A0PM49,1
A0A023PZF9,0
A0KKH9,1
A0LHM4,1
A0K7V7,1
A0A1L6K371,0
A0A7H0DND2,0
A0KVD3,1
A0A1L8FM16,0
A0JWY6,1
A0RB62,1
A0A287BDC1,0
A0LRP6,1
A0A1D8PFV1,1
A0CYG2,1
A0A2I1C3V3,0
A0A0F7TXA5,0
A0LJM3,1
A0A455LRX2,0
A0JUU0,1
A0A146F0J0,0
A0R480,1
A0A0A1I6N9,0
A0A4P8DJU1,0
A0A0S2E7Z1,0
A0KS84,1
A0AK37,1
A0KV13,1
A0A2H1VE33,0
A0A1S3C4H6,0
A0AAS4,0
A0A0U2WFX7,0
A0LIJ5,1
A0R3M4,1
A0Q1S2,1
A0A067XNJ0,0
A0JMR6,0
A0LRJ1,1
A0A075F932,1
A0A059WLZ7,0
A0A0S2E7V8,0
A0A023IWI4,0
A0QEZ6,1
A0KTZ1,1
A0M787,1
A0PXX4,1
A0PXU2,1
A0A7S8MU59,0
A0A0G2RKY1,0
A0LSW9,1
A0KBJ5,1
A0K477,1
A0A7S8MVN3,0
A0KF33,1
A0JV02,1
A0A023PYF4,0
A0K2Y1,1
A0A0A7EQR3,0
A0A455RAK9,0
A0QG83,1
A0PX70,1
A0QDK7,1
A0LRL4,1
A0KGF0,1
A0A1R3RGJ7,0
A0LV11,1
A0B9U1,1
A0A191T6Q6,0
A0Q7Q5,1
A0A2Z4HPY0,0
A0A8G1LR08,0
A0MH68,0
A0Q8M6,1
A0L482,1
A0A4Y6F0M8,0
A0KNT0,1
A0A0H3MBK5,1
A0KYM1,1
A0A0A2JP58,0
A0A2K3DMP5,0
A0A024B3D0,0
A0R102,1
A0A324,1
A0LF66,1
A0R0T9,1
A0A0A0MTA4,0
A0KEM9,1
A0A2I1BSX0,0
A0A1W5T1T3,0
A0A7J6K7Y0,0
A0KAR0,1
A0K4K6,1
A0B6Z6,0
A0A0A2JY30,0
A0QEZ9,1
A0A4P8DJU7,0
A0PPD1,1
A0LRM0,1
A0LK67,0
A0K4K7,1
A0A1V0QSC6,1
A0AJU2,1
A0M554,1
